State,"Q-ADD - Heat Flow","Psteam - Phase - Molar Flow (Overall)","O2GFR - Phase - Molar Flow (Vapour Phase)","GFR-OUT - Temperature","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-Carbon)","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-CO)","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-CO2)","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-Hydrogen)","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-Methane)","Front_cal - Cell Matrix (F-5)","Front_cal - Cell Matrix (F-8)","Front_cal - Cell Matrix (C-7)","Front_cal - Cell Matrix (A-31)","Front_cal - Cell Matrix (D-31)","Front_cal - Cell Matrix (G-31)","Front_cal - Cell Matrix (I-5)","Front_cal - Cell Matrix (K-5)","gas2FT - Overall and Phase Comp Molar Flow (Overall-CO2)","Front_cal - Cell Matrix (M-3)","Front_cal - Cell Matrix (A-13)","Front_cal - Cell Matrix (A-5)","Front_cal - Cell Matrix (D-13)","Front_cal - Cell Matrix (A-25)","Front_cal - Cell Matrix (A-26)","Front_cal - Cell Matrix (A-27)","Front_cal - Cell Matrix (A-28)","Front_cal - Cell Matrix (A-29)","gas2FT - Overall and Phase Comp Molar Flow (Overall-Methane)","gas2FT - Overall and Phase Comp Molar Flow (Overall-CO)","gas2FT - Overall and Phase Comp Molar Flow (Overall-Hydrogen)"
"Case 67",0,660,381.5,1300,0.0000,703.1722,312.3630,648.3738,0.0451,79.85,79.85,0.6499,49.84,87.55,37.71,2475,2.608e+004,201.5311,8.869,0.9221,2.531,2.05,0,31.94,0,14.07,3.832,2.1427,811.3904,1663.3497
"Case 68",0,670,382.4,1300,0.0000,700.9528,314.5834,648.9139,0.0442,79.61,79.61,0.6597,49.74,87.37,37.64,2470,2.603e+004,203.3019,8.947,0.9258,2.535,2.051,0,31.84,0,14.03,3.865,2.0792,809.6728,1660.2668
"Case 69",0,680,383.2,1300,0.0000,698.7439,316.7931,649.4420,0.0433,79.33,79.33,0.6696,49.61,87.18,37.57,2464,2.597e+004,205.1064,9.027,0.9294,2.538,2.05,0,31.73,0,13.98,3.9,2.0146,807.9222,1656.5721
"Case 70",0,690,384,1300,0.0000,696.5456,318.9923,649.9583,0.0425,79.02,79.02,0.6794,49.47,86.99,37.52,2459,2.591e+004,206.9235,9.107,0.9331,2.541,2.05,0,31.61,0,13.92,3.934,1.9510,806.1579,1652.6229
"Case 71",0,700,384.9,1300,0.0000,694.3576,321.1811,650.4628,0.0417,78.79,78.79,0.6893,49.36,86.81,37.44,2454,2.586e+004,208.6840,9.184,0.9368,2.545,2.051,0,31.52,0,13.88,3.968,1.8936,804.4441,1649.5412
"Case 72",0,710,385.7,1300,0.0000,692.1799,323.3596,650.9556,0.0409,78.51,78.51,0.6991,49.24,86.62,37.38,2449,2.58e+004,210.4788,9.263,0.9404,2.548,2.05,0,31.4,0,13.83,4.002,1.8353,802.6966,1645.8547
"Case 73",0,720,386.6,1300,0.0000,690.0124,325.5279,651.4369,0.0401,78.21,78.21,0.709,49.1,86.42,37.33,2443,2.575e+004,212.2868,9.343,0.9441,2.55,2.05,0,31.28,0,13.78,4.036,1.7778,800.9349,1641.9158
"Case 74",0,730,387.4,1300,0.0000,687.8550,327.6861,651.9068,0.0393,77.97,77.97,0.7188,49,86.24,37.25,2438,2.569e+004,214.0372,9.42,0.9477,2.554,2.051,0,31.19,0,13.74,4.069,1.7259,799.2253,1638.8364
"Case 75",0,740,388.3,1300,0.0000,685.7075,329.8343,652.3654,0.0386,77.7,77.7,0.7286,48.87,86.05,37.18,2433,2.563e+004,215.8227,9.498,0.9514,2.557,2.05,0,31.08,0,13.69,4.103,1.6732,797.4812,1635.1586
"Case 76",0,750,389.1,1300,0.0000,683.5699,331.9726,652.8128,0.0379,77.4,77.4,0.7385,48.73,85.86,37.13,2427,2.558e+004,217.6217,9.577,0.955,2.56,2.05,0,30.96,0,13.64,4.137,1.6212,795.7226,1631.2306
"Case 77",0,760,390,1300,0.0000,681.4421,334.1011,653.2491,0.0372,77.17,77.17,0.7483,48.63,85.68,37.05,2422,2.552e+004,219.3624,9.654,0.9586,2.564,2.051,0,30.87,0,13.6,4.171,1.5743,794.0175,1628.1540
"Case 78",0,770,390.8,1300,0.0000,679.3240,336.2199,653.6744,0.0365,76.89,76.89,0.7582,48.51,85.49,36.98,2417,2.547e+004,221.1389,9.732,0.9622,2.566,2.05,0,30.76,0,13.55,4.204,1.5266,792.2770,1624.4855
"Case 79",0,780,391.7,1300,0.0000,677.2155,338.3291,654.0889,0.0358,76.6,76.6,0.768,48.37,85.3,36.93,2411,2.541e+004,222.9293,9.811,0.9659,2.569,2.05,0,30.64,0,13.5,4.238,1.4795,790.5218,1620.5687
"Case 80",0,790,392.5,1300,0.0000,675.1165,340.4288,654.4927,0.0351,76.37,76.37,0.7779,48.28,85.12,36.84,2406,2.536e+004,224.6605,9.887,0.9695,2.573,2.051,0,30.55,0,13.46,4.271,1.4371,788.8213,1617.4956
"Case 81",0,800,393.4,1300,0.0000,673.0268,342.5191,654.8858,0.0345,76.1,76.1,0.7877,48.15,84.93,36.78,2401,2.53e+004,226.4282,9.965,0.973,2.575,2.05,0,30.44,0,13.41,4.305,1.3939,787.0846,1613.8367
"Case 82",0,810,394.2,1300,0.0000,670.9465,344.6000,655.2683,0.0338,75.81,75.81,0.7976,48.02,84.74,36.72,2395,2.524e+004,228.2103,10.04,0.9766,2.578,2.05,0,30.32,0,13.36,4.339,1.3512,785.3329,1609.9316
"Case 83",0,820,395.1,1300,0.0000,668.8755,346.6717,655.6404,0.0332,75.58,75.58,0.8074,47.92,84.56,36.64,2390,2.519e+004,229.9323,10.12,0.9802,2.582,2.051,0,30.23,0,13.32,4.372,1.3128,783.6373,1606.8625
"Case 84",0,830,395.9,1300,0.0000,666.8135,348.7343,656.0021,0.0326,75.31,75.31,0.8173,47.8,84.37,36.58,2385,2.513e+004,231.6916,10.2,0.9838,2.584,2.05,0,30.12,0,13.27,4.405,1.2737,781.9047,1603.2135
"Case 85",0,840,396.8,1300,0.0000,664.7607,350.7877,656.3536,0.0320,75.02,75.02,0.8271,47.66,84.18,36.52,2379,2.508e+004,233.4656,10.27,0.9874,2.587,2.05,0,30.01,0,13.22,4.439,1.2350,780.1567,1599.3202
"Case 86",0,850,397.6,1300,0.0000,662.7168,352.8322,656.6950,0.0314,74.8,74.8,0.837,47.57,84,36.44,2375,2.502e+004,235.1787,10.35,0.9909,2.59,2.051,0,29.92,0,13.18,4.471,1.2002,778.4660,1596.2555
"Case 87",0,860,398.5,1300,0.0000,660.6822,354.8673,657.0271,0.0309,74.53,74.53,0.8468,47.45,83.82,36.37,2369,2.497e+004,236.9296,10.43,0.9945,2.593,2.05,0,29.81,0,13.13,4.505,1.1647,776.7378,1592.6175
"Case 88",0,870,399.3,1300,0.0000,658.6560,356.8941,657.3483,0.0303,74.24,74.24,0.8567,47.31,83.62,36.31,2364,2.491e+004,238.6959,10.5,0.998,2.595,2.05,0,29.7,0,13.08,4.538,1.1297,774.9936,1588.7358
"Case 89",0,880,400.2,1300,0.0000,656.6385,358.9122,657.6596,0.0298,74.02,74.02,0.8665,47.22,83.45,36.23,2359,2.486e+004,240.4003,10.58,1.002,2.599,2.051,0,29.61,0,13.04,4.571,1.0981,773.3079,1585.6758
"Case 90",0,890,401,1300,0.0000,654.6296,360.9216,657.9612,0.0292,73.75,73.75,0.8763,47.1,83.26,36.16,2354,2.48e+004,242.1436,10.66,1.005,2.602,2.05,0,29.5,0,12.99,4.604,1.0659,771.5837,1582.0472
"Case 91",0,900,401.9,1300,0.0000,652.6293,362.9225,658.2530,0.0287,73.47,73.47,0.8862,46.97,83.07,36.1,2348,2.475e+004,243.9023,10.73,1.009,2.604,2.05,0,29.39,0,12.94,4.637,1.0341,769.8434,1578.1779
"Case 92",0,910,402.7,1300,0.0000,650.6375,364.9148,658.5353,0.0282,73.25,73.25,0.896,46.87,82.89,36.02,2343,2.469e+004,245.5984,10.81,1.012,2.608,2.051,0,29.3,0,12.91,4.669,1.0054,768.1628,1575.1231
"Case 93",0,920,403.6,1300,0.0000,648.6541,366.8987,658.8081,0.0277,72.98,72.98,0.9059,46.75,82.7,35.95,2338,2.464e+004,247.3339,10.89,1.016,2.61,2.05,0,29.19,0,12.86,4.702,0.9762,766.4430,1571.5048
"Case 94",0,930,404.5,1300,0.0000,646.6790,368.8742,659.0714,0.0272,72.7,72.7,0.9157,46.62,82.51,35.89,2332,2.458e+004,249.0854,10.96,1.019,2.612,2.05,0,29.08,0,12.81,4.736,0.9472,764.7067,1567.6476
"Case 95",0,940,405.3,1300,0.0000,644.7124,370.8414,659.3255,0.0267,72.48,72.48,0.9256,46.53,82.34,35.81,2328,2.453e+004,250.7733,11.04,1.023,2.616,2.051,0,28.99,0,12.77,4.768,0.9212,763.0313,1564.5982
"Case 96",0,950,406.2,1300,0.0000,642.7539,372.8003,659.5704,0.0262,72.26,72.26,0.9354,46.44,82.16,35.72,2323,2.447e+004,252.4588,11.11,1.026,2.619,2.051,0,28.9,0,12.73,4.8,0.8960,761.3575,1561.5433
"Case 97",0,960,407,1300,0.0000,640.8035,374.7512,659.8061,0.0258,71.99,71.99,0.9453,46.31,81.97,35.66,2317,2.442e+004,254.1957,11.19,1.03,2.622,2.051,0,28.8,0,12.68,4.833,0.8699,759.6326,1557.7911
"Case 98",0,970,407.9,1300,0.0000,638.8612,376.6939,660.0327,0.0253,71.69,71.69,0.9551,46.17,81.78,35.61,2312,2.436e+004,255.9610,11.26,1.033,2.623,2.05,0,28.67,0,12.63,4.866,0.8437,757.8791,1553.6509
"Case 99",0,980,408.7,1300,0.0000,636.9269,378.6287,660.2502,0.0249,71.46,71.46,0.965,46.07,81.6,35.53,2307,2.431e+004,257.6462,11.34,1.037,2.627,2.05,0,28.58,0,12.59,4.898,0.8205,756.2030,1550.5100
"Case 100",0,990,409.6,1300,0.0000,635.0004,380.5556,660.4588,0.0245,71.24,71.24,0.9748,45.98,81.42,35.45,2302,2.425e+004,259.3292,11.41,1.04,2.63,2.051,0,28.49,0,12.55,4.93,0.7981,754.5282,1547.3639
"Case 101",0,1000,410.5,1300,0.0000,633.0818,382.4746,660.6585,0.0240,70.96,70.96,0.9847,45.85,81.23,35.38,2296,2.42e+004,261.0585,11.49,1.044,2.632,2.05,0,28.39,0,12.5,4.963,0.7750,752.8075,1543.6092
"Case 102",0,1010,411.3,1300,0.0000,631.1710,384.3858,660.8494,0.0236,70.68,70.68,0.9945,45.72,81.04,35.32,2291,2.414e+004,262.7981,11.57,1.047,2.634,2.05,0,28.27,0,12.45,4.996,0.7524,751.0757,1539.7039
"Case 103",0,1020,412.2,1300,0.0000,629.2679,386.2894,661.0316,0.0232,70.47,70.47,1.004,45.63,80.87,35.24,2286,2.409e+004,264.4652,11.64,1.05,2.638,2.05,0,28.19,0,12.42,5.028,0.7322,749.4143,1536.6722
"Case 104",0,1030,413,1300,0.0000,627.3724,388.1852,661.2051,0.0228,70.25,70.25,1.014,45.54,80.69,35.15,2281,2.404e+004,266.1301,11.71,1.054,2.641,2.051,0,28.1,0,12.38,5.06,0.7125,747.7544,1533.6357
"Case 105",0,1040,413.9,1300,0.0000,625.4846,390.0735,661.3701,0.0224,69.98,69.98,1.024,45.42,80.5,35.09,2276,2.398e+004,267.8489,11.79,1.057,2.643,2.051,0,27.99,0,12.33,5.092,0.6922,746.0409,1529.9157
"Case 106",0,1050,414.8,1300,0.0000,623.6042,391.9543,661.5265,0.0220,69.69,69.69,1.034,45.28,80.31,35.03,2270,2.392e+004,269.5983,11.86,1.061,2.645,2.05,0,27.87,0,12.28,5.126,0.6718,744.2964,1525.8063
"Case 107",0,1060,415.6,1300,0.0000,621.7313,393.8276,661.6746,0.0217,69.46,69.46,1.044,45.18,80.14,34.95,2265,2.387e+004,271.2644,11.94,1.064,2.648,2.05,0,27.79,0,12.24,5.157,0.6537,742.6333,1522.6780
"Case 108",0,1070,416.5,1300,0.0000,619.8657,395.6935,661.8142,0.0213,69.24,69.24,1.054,45.09,79.96,34.87,2261,2.382e+004,272.9286,12.01,1.068,2.651,2.051,0,27.7,0,12.2,5.189,0.6362,740.9715,1519.5453
"Case 109",0,1080,417.4,1300,0.0000,618.0075,397.5520,661.9456,0.0209,68.98,68.98,1.063,44.97,79.77,34.81,2255,2.376e+004,274.6406,12.09,1.071,2.653,2.05,0,27.59,0,12.15,5.222,0.6182,739.2618,1515.8217
"Case 110",0,1090,418.2,1300,0.0000,616.1566,399.4033,662.0687,0.0206,68.7,68.7,1.073,44.84,79.58,34.75,2249,2.371e+004,276.3631,12.16,1.075,2.655,2.05,0,27.48,0,12.1,5.254,0.6005,737.5412,1511.9581
"Case 111",0,1100,419.1,1300,0.0000,614.3129,401.2474,662.1837,0.0202,68.49,68.49,1.083,44.75,79.41,34.66,2245,2.366e+004,278.0110,12.24,1.078,2.658,2.05,0,27.4,0,12.07,5.286,0.5847,735.8937,1508.9444
"Case 112",0,1110,420,1300,0.0000,612.4763,403.0843,662.2906,0.0199,68.28,68.28,1.093,44.66,79.23,34.58,2240,2.36e+004,279.6568,12.31,1.081,2.661,2.051,0,27.31,0,12.03,5.317,0.5694,734.2476,1505.9265
"Case 113",0,1120,420.8,1300,0.0000,610.6468,404.9142,662.3893,0.0196,68.01,68.01,1.103,44.54,79.05,34.51,2235,2.355e+004,281.3589,12.38,1.085,2.663,2.051,0,27.21,0,11.98,5.349,0.5535,732.5452,1502.2376
"Case 114",0,1130,421.7,1300,0.0000,608.8262,406.7352,662.4226,0.0192,67.73,67.73,1.113,44.41,78.86,34.45,2229,2.349e+004,283.0745,12.46,1.088,2.665,2.05,0,27.09,0,11.93,5.382,0.5369,730.8296,1498.1994
"Case 115",0,1140,422.6,1300,0.0000,607.0096,408.5520,662.5347,0.0189,67.52,67.52,1.123,44.32,78.68,34.37,2224,2.344e+004,284.7191,12.53,1.091,2.668,2.051,0,27.01,0,11.9,5.413,0.5233,729.1828,1495.2204
"Case 116",0,1150,423.4,1300,0.0000,605.2000,410.3619,662.6399,0.0186,67.27,67.27,1.132,44.2,78.5,34.3,2219,2.338e+004,286.4121,12.6,1.095,2.67,2.05,0,26.91,0,11.85,5.445,0.5092,727.4874,1491.6754
"Case 117",0,1160,424.3,1300,0.0000,603.3973,412.1649,662.7381,0.0183,66.99,66.99,1.142,44.08,78.31,34.24,2214,2.333e+004,288.1321,12.68,1.098,2.672,2.05,0,26.8,0,11.8,5.478,0.4951,725.7647,1487.8161
"Case 118",0,1170,425.2,1300,0.0000,601.6034,413.9591,662.7693,0.0180,66.78,66.78,1.152,43.98,78.14,34.15,2209,2.328e+004,289.7662,12.75,1.102,2.675,2.05,0,26.71,0,11.77,5.509,0.4819,724.1273,1484.7079
"Case 119",0,1180,426.1,1300,0.0000,599.8172,415.7456,662.7603,0.0177,66.56,66.56,1.162,43.89,77.96,34.07,2204,2.322e+004,291.3928,12.82,1.105,2.678,2.051,0,26.62,0,11.73,5.54,0.4688,722.4973,1481.5595
"Case 120",0,1190,426.9,1300,0.0000,598.0348,417.5283,662.8342,0.0174,66.3,66.3,1.172,43.78,77.78,34,2199,2.317e+004,293.0847,12.9,1.108,2.68,2.05,0,26.52,0,11.68,5.572,0.4562,720.8009,1477.9496
"Case 121",0,1200,427.8,1300,0.0000,596.2592,419.3042,662.9012,0.0171,66.03,66.03,1.182,43.65,77.59,33.94,2193,2.311e+004,294.7959,12.97,1.112,2.681,2.05,0,26.41,0,11.63,5.605,0.4437,719.0849,1474.1225
"Case 122",0,1210,428.6,1300,0.0000,594.4903,421.0734,662.9617,0.0168,65.82,65.82,1.191,43.56,77.42,33.86,2189,2.306e+004,296.4305,13.05,1.115,2.684,2.05,0,26.33,0,11.6,5.636,0.4326,717.4445,1471.1073
"Case 123",0,1220,429.5,1300,0.0000,592.7296,422.8344,662.9544,0.0165,65.61,65.61,1.201,43.47,77.24,33.77,2184,2.301e+004,298.0527,13.12,1.118,2.687,2.051,0,26.24,0,11.56,5.667,0.4212,715.8166,1468.0210
"Case 124",0,1230,430.4,1300,0.0000,590.9764,424.5879,662.9064,0.0162,65.35,65.35,1.211,43.35,77.06,33.71,2178,2.296e+004,299.7211,13.19,1.122,2.689,2.05,0,26.14,0,11.51,5.698,0.4093,714.1426,1464.3239
"Case 125",0,1240,431.3,1300,0.0000,589.2270,426.3375,662.9431,0.0160,65.08,65.08,1.221,43.23,76.87,33.65,2173,2.29e+004,301.4285,13.27,1.125,2.69,2.05,0,26.03,0,11.47,5.731,0.3981,712.4284,1460.4767
"Case 126",0,1250,432.1,1300,0.0000,587.4841,428.0807,662.9733,0.0157,64.87,64.87,1.231,43.14,76.7,33.56,2168,2.285e+004,303.0559,13.34,1.128,2.693,2.05,0,25.95,0,11.43,5.762,0.3882,710.7935,1457.4571
"Case 127",0,1260,433,1300,0.0000,585.7475,429.8176,662.9971,0.0155,64.66,64.66,1.241,43.05,76.53,33.48,2164,2.28e+004,304.6820,13.41,1.132,2.696,2.051,0,25.86,0,11.39,5.793,0.3786,709.1594,1454.4356
"Case 128",0,1270,433.9,1300,0.0000,584.0189,431.5464,662.9558,0.0152,64.4,64.4,1.251,42.93,76.34,33.41,2158,2.274e+004,306.3552,13.48,1.135,2.698,2.051,0,25.76,0,11.35,5.824,0.3681,707.4785,1450.7343
"Case 129",0,1280,434.8,1300,0.0000,582.2972,433.2684,662.8749,0.0150,64.13,64.13,1.26,42.81,76.16,33.35,2153,2.269e+004,308.0337,13.56,1.138,2.699,2.05,0,25.65,0,11.3,5.856,0.3575,705.7920,1446.8721
"Case 130",0,1290,435.6,1300,0.0000,580.5795,434.9863,662.8752,0.0147,63.93,63.93,1.27,42.73,75.99,33.26,2148,2.264e+004,309.6399,13.63,1.142,2.702,2.051,0,25.57,0,11.26,5.887,0.3489,704.1767,1443.9930
"Case 131",0,1300,436.5,1300,0.0000,578.8679,436.6981,662.8694,0.0145,63.69,63.69,1.28,42.62,75.81,33.19,2143,2.258e+004,311.3020,13.7,1.145,2.704,2.051,0,25.48,0,11.22,5.919,0.3398,702.5051,1440.5283
"Case 132",0,1310,437.3,1300,0.0000,577.1626,438.4037,662.8574,0.0143,63.41,63.41,1.29,42.49,75.62,33.13,2137,2.253e+004,313.0075,13.78,1.148,2.706,2.05,0,25.37,0,11.17,5.951,0.3306,700.7899,1436.6176
"Case 133",0,1320,438.2,1300,0.0000,575.4646,440.1019,662.7804,0.0140,63.2,63.2,1.3,42.4,75.44,33.05,2133,2.247e+004,314.6173,13.85,1.152,2.708,2.05,0,25.28,0,11.14,5.982,0.3221,699.1701,1433.4875
"Case 134",0,1330,439.1,1300,0.0000,573.7733,441.7934,662.6655,0.0138,62.99,62.99,1.31,42.31,75.27,32.97,2128,2.242e+004,316.2203,13.92,1.155,2.711,2.05,0,25.2,0,11.1,6.012,0.3136,697.5571,1430.3193
"Case 135",0,1340,440,1300,0.0000,572.0861,443.4809,662.6324,0.0136,62.78,62.78,1.319,42.21,75.1,32.88,2123,2.237e+004,317.8370,13.99,1.158,2.713,2.051,0,25.11,0,11.06,6.043,0.3059,695.9294,1427.2486
"Case 136",0,1350,440.9,1300,0.0000,570.4048,445.1623,662.5933,0.0134,62.52,62.52,1.329,42.1,74.91,32.82,2118,2.232e+004,319.5139,14.06,1.162,2.715,2.051,0,25.01,0,11.01,6.075,0.2978,694.2411,1423.5733
"Case 137",0,1360,441.7,1300,0.0000,568.7295,446.8379,662.5482,0.0132,62.24,62.24,1.339,41.97,74.73,32.76,2112,2.226e+004,321.2117,14.14,1.165,2.716,2.05,0,24.9,0,10.97,6.107,0.2899,692.5316,1419.6877
"Case 138",0,1370,442.6,1300,0.0000,567.0613,448.5063,662.4350,0.0130,62.03,62.03,1.349,41.88,74.55,32.67,2108,2.221e+004,322.8108,14.21,1.168,2.719,2.05,0,24.81,0,10.93,6.137,0.2825,690.9208,1416.6082
"Case 139",0,1380,443.5,1300,0.0000,565.3993,450.1685,662.2870,0.0127,61.83,61.83,1.359,41.79,74.38,32.59,2103,2.216e+004,324.4005,14.28,1.171,2.721,2.051,0,24.73,0,10.89,6.168,0.2752,689.3191,1413.4910
"Case 140",0,1390,444.4,1300,0.0000,563.7414,451.8266,662.2261,0.0125,61.58,61.58,1.369,41.68,74.2,32.52,2098,2.21e+004,326.0599,14.35,1.175,2.723,2.05,0,24.63,0,10.85,6.199,0.2681,687.6469,1409.9499
